date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:02	62/62	---MC-	200	added ('OK')	text/plain	date:Wed,%2027%20Oct%202021%2020:25:01%20GMT	https://sedip.de/robots.txt		(from )
22:25:02	9579/9579	---M-Z	200	added ('OK')	text/html	etag:%22ed8fab56df8e67d7dbd764db9cc3f61e%22	https://sedip.de/	D:/ms/sedip/sedip.de/index.html	(from )
22:25:02	9414/9414	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2020:25:02%20GMT	https://sedip.de/favicon.ico	D:/ms/sedip/sedip.de/favicon.ico	(from https://sedip.de/)
22:25:02	32241/32241	---M-Z	200	added ('OK')	text/css	etag:%227df1-54ac6ef0add80-gzip%22	https://sedip.de/assets/default/css/w3.css	D:/ms/sedip/sedip.de/assets/default/css/w3.css	(from https://sedip.de/)
22:25:03	14586/14586	---M-Z	200	added ('OK')	text/css	etag:%2238fa-5c60bf3fc38a7-gzip%22	https://sedip.de/assets/default/css/style.css	D:/ms/sedip/sedip.de/assets/default/css/style.css	(from https://sedip.de/)
22:25:03	7637/7637	---M-Z	200	added ('OK')	text/css	etag:%221dd5-56d0453b1a0c0-gzip%22	https://sedip.de/assets/default/css/magnific-popup.css	D:/ms/sedip/sedip.de/assets/default/css/magnific-popup.css	(from https://sedip.de/)
22:25:03	3190/3190	---M-Z	200	added ('OK')	text/css	etag:%22c76-56d045383da00-gzip%22	https://sedip.de/assets/default/css/jquery.bxslider.min.css	D:/ms/sedip/sedip.de/assets/default/css/jquery.bxslider.min.css	(from https://sedip.de/)
22:25:03	86596/86596	---M-Z	200	added ('OK')	application/javascript	etag:%2215244-56d039504c300-gzip%22	https://sedip.de/assets/default/js/jquery.3.2.0.js	D:/ms/sedip/sedip.de/assets/default/js/jquery.3.2.0.js	(from https://sedip.de/)
22:25:04	4859/4859	---M-Z	200	added ('OK')	application/javascript	etag:%2212fb-54acb32a45400-gzip%22	https://sedip.de/assets/default/js/Hyphenopoly_Loader.js	D:/ms/sedip/sedip.de/assets/default/js/Hyphenopoly_Loader.js	(from https://sedip.de/)
22:25:04	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-56d0452eb4380-gzip%22	https://sedip.de/assets/default/js/jquery.magnific-popup.min.js	D:/ms/sedip/sedip.de/assets/default/js/jquery.magnific-popup.min.js	(from https://sedip.de/)
22:25:04	23631/23631	---M-Z	200	added ('OK')	application/javascript	etag:%225c4f-56d0452ae3a80-gzip%22	https://sedip.de/assets/default/js/jquery.bxslider.min.js	D:/ms/sedip/sedip.de/assets/default/js/jquery.bxslider.min.js	(from https://sedip.de/)
22:25:05	512005/512005	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Oct%202021%2020:25:04%20GMT	https://sedip.de/index.php?rex_media_type=redactorImage&rex_media_file=startseite.jpg	D:/ms/sedip/sedip.de/startseited264.jpg_;	(from https://sedip.de/)
22:25:05	9634/9634	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Oct%202021%2020:25:04%20GMT	https://sedip.de/unsere-basis/	D:/ms/sedip/sedip.de/unsere-basis/index.html	(from https://sedip.de/)
22:25:05	9545/9545	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Oct%202021%2020:25:05%20GMT	https://sedip.de/unsere-werkzeuge/	D:/ms/sedip/sedip.de/unsere-werkzeuge/index.html	(from https://sedip.de/)
22:25:05	9539/9539	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Oct%202021%2020:25:05%20GMT	https://sedip.de/unsere-organisation/	D:/ms/sedip/sedip.de/unsere-organisation/index.html	(from https://sedip.de/)
22:25:05	8880/8880	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Oct%202021%2020:25:05%20GMT	https://sedip.de/ehrenamtliche-mitarbeiter/	D:/ms/sedip/sedip.de/ehrenamtliche-mitarbeiter/index.html	(from https://sedip.de/)
22:25:06	86596/86596	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-15244%22	https://code.jquery.com/jquery-3.2.0.min.js	D:/ms/sedip/code.jquery.com/jquery-3.2.0.min.js	(from https://sedip.de/)
22:25:06	24357/24357	---M-Z	200	added ('OK')	text/html	etag:%22bb6116368f7c3e6424ed0429c7851401%22	https://sedip.de/termine/	D:/ms/sedip/sedip.de/termine/index.html	(from https://sedip.de/)
22:25:06	11049/11049	---M-Z	200	added ('OK')	text/html	etag:%221473209503765d298be03148b6e22496%22	https://sedip.de/angebote/	D:/ms/sedip/sedip.de/angebote/index.html	(from https://sedip.de/)
22:25:06	579/579	---M-Z	200	added ('OK')	application/javascript	etag:%22243-54aeb96e65240-gzip%22	https://sedip.de/assets/default/js/scripts.js	D:/ms/sedip/sedip.de/assets/default/js/scripts.js	(from https://sedip.de/)
22:25:22	9858/9858	---M-Z	200	added ('OK')	text/html	etag:%22a0d7bb0b2f82cd959f2cdc57f5eb02ff%22	https://sedip.de/shop/	D:/ms/sedip/sedip.de/shop/index.html	(from https://sedip.de/)
22:25:22	9895/9895	---M-Z	200	added ('OK')	text/html	etag:%222344acea46e7be35901c9d7c65da8212%22	https://sedip.de/sedip-rundbrief/	D:/ms/sedip/sedip.de/sedip-rundbrief/index.html	(from https://sedip.de/)
22:25:22	9721/9721	---M-Z	200	added ('OK')	text/html	etag:%22516d3f002723f4585766fe6cfbe3e076%22	https://sedip.de/persoenlicher-login/	D:/ms/sedip/sedip.de/persoenlicher-login/index.html	(from https://sedip.de/)
22:25:22	14815/14815	---M-Z	200	added ('OK')	text/html	etag:%22aa534f850d5bae1470738ad93d8c9bb9%22	https://sedip.de/kontakt/	D:/ms/sedip/sedip.de/kontakt/index.html	(from https://sedip.de/)
22:25:23	18796/18796	---M--	200	added ('OK')	image/png	etag:%22496c-5c4f2a3dad0b8%22	https://sedip.de/assets/default/img/logo.png	D:/ms/sedip/sedip.de/assets/default/img/logo.png	(from https://sedip.de/assets/default/css/style.css)
22:25:38	14132/14132	---M-Z	200	added ('OK')	text/html	etag:%227577314476ac7d495122d5f043f3f695%22	https://sedip.de/unsere-basis/theorie/	D:/ms/sedip/sedip.de/unsere-basis/theorie/index.html	(from https://sedip.de/)
22:25:38	12016/12016	---M-Z	200	added ('OK')	text/html	etag:%2282f5739ed990e5b65fb2975efe25f42a%22	https://sedip.de/unsere-basis/einfuehrung/	D:/ms/sedip/sedip.de/unsere-basis/einfuehrung/index.html	(from https://sedip.de/)
22:25:38	15220/15220	---M-Z	200	added ('OK')	text/html	etag:%22695f076b1faeac68a48ec16e5e62c0fe%22	https://sedip.de/unsere-basis/methode/	D:/ms/sedip/sedip.de/unsere-basis/methode/index.html	(from https://sedip.de/)
22:25:38	13630/13630	---M-Z	200	added ('OK')	text/html	etag:%22fdb6fba63114ce87688896d9d0e518f0%22	https://sedip.de/unsere-basis/wirkung/	D:/ms/sedip/sedip.de/unsere-basis/wirkung/index.html	(from https://sedip.de/)
22:25:54	11968/11968	---M-Z	200	added ('OK')	text/html	etag:%22f1de7489e90898a8eacb330e4104f505%22	https://sedip.de/unsere-basis/bep-ki/	D:/ms/sedip/sedip.de/unsere-basis/bep-ki/index.html	(from https://sedip.de/)
22:25:54	24477/24477	---M-Z	200	added ('OK')	text/html	etag:%2231e6aa2850bc65ff982e36ef90eb0f18%22	https://sedip.de/unsere-basis/literatur/	D:/ms/sedip/sedip.de/unsere-basis/literatur/index.html	(from https://sedip.de/)
22:25:54	13297/13297	---M-Z	200	added ('OK')	text/html	etag:%22e7f88f467be8c60d4560caa4522125e1%22	https://sedip.de/unsere-basis/weiterbildung/	D:/ms/sedip/sedip.de/unsere-basis/weiterbildung/index.html	(from https://sedip.de/)
22:25:54	13704/13704	---M-Z	200	added ('OK')	text/html	etag:%22632f8bb4d8d5085edccfd60ce6f69b41%22	https://sedip.de/unsere-basis/netzwerk/	D:/ms/sedip/sedip.de/unsere-basis/netzwerk/index.html	(from https://sedip.de/)
22:25:54	14902/14902	---M-Z	200	added ('OK')	text/html	etag:%220c953158ea232fd4f293260ad44deb7c%22	https://sedip.de/unsere-werkzeuge/was-heisst-und-was-ist-bep-ki/	D:/ms/sedip/sedip.de/unsere-werkzeuge/was-heisst-und-was-ist-bep-ki/index.html	(from https://sedip.de/)
